"Date","Price","Open","High","Low","Change %"
"03/09/2026","2.916","2.916","2.916","2.916","3.00%"
"03/06/2026","2.831","2.830","2.831","2.830","0.46%"
"03/05/2026","2.818","2.820","2.820","2.817","-0.32%"
"03/04/2026","2.827","2.825","2.830","2.825","0.68%"
"03/03/2026","2.808","2.795","2.810","2.795","2.44%"
"02/27/2026","2.741","2.745","2.745","2.741","-0.76%"
"02/26/2026","2.762","2.762","2.762","2.762","0.04%"
"02/25/2026","2.761","2.760","2.762","2.760","0.77%"
"02/24/2026","2.740","2.740","2.740","2.740","-1.47%"
"02/23/2026","2.781","2.742","2.781","2.742","1.42%"
"02/20/2026","2.742","2.745","2.745","2.742","-0.22%"
"02/19/2026","2.748","2.745","2.750","2.745","0.18%"
"02/13/2026","2.743","2.745","2.745","2.743","-0.15%"
"02/12/2026","2.747","2.750","2.750","2.746","-0.11%"
"02/11/2026","2.750","2.750","2.750","2.750","0.00%"
"02/10/2026","2.750","2.752","2.752","2.748","-0.51%"
"02/09/2026","2.764","2.764","2.764","2.764","-0.58%"
"02/06/2026","2.780","2.770","2.783","2.770","-0.07%"
"02/05/2026","2.782","2.770","2.782","2.770","-0.75%"
"02/04/2026","2.803","2.803","2.803","2.803","0.04%"
"02/03/2026","2.802","2.802","2.802","2.802","0.21%"